Համակարգչային եզրույթների բառարան (Microsoft)
==========

English|Հայերեն
antispyware program|հակալրտես ծրագիր
antispyware software|հակալրտես ծրագրաշար
apartment|բնակարան
API|API
apostrophe|ապաթարց
app|գործադիր
App & browser control|Գործադիրի և զննիչի կառավար
app bar|գործադիրի գոտի
app bundle|գործադիրների կապոց
App Catalog|Գործադրի գրացուցակ
app command|գործադիրի հրաման
App connector|Գործադիրների կապակցիչ
app container|գործադիրի զետեղարան
app custom action|գործադրի հարմարեցրած գործողություն
app frame|գործադիրի շրջանակ
app launcher|գործադրի թողարկիչ
App Monitor|Գործադիրների վերահսկում
app name|գործադիրի անուն
app package|գործադիրների փաթեթ
app part|գործադրի մաս
app preview|գործադիրի նախատեսք
app step|գործադրի քայլ
App Summary|Գործադիրի սեղմագիր
app switch|գործադիրների փոխարկիչ
app switching|գործադիրների փոխարկում
App to App sign in|Գործադիրից գործադիր մուտքագրում
App Update|Գործադիրի արդիացում
Appear offline|Հայտնվել անցանց
append query|հավելյալ հարցում
applet|ծրագրույթ
application|գործադիր
application data|գործադրի տվյալներ
Application Note|Գործադրի նշում
application programming interface|կիրառական ծրագրավորման միջերես
application single-threaded apartment|գործադիրի միահոսք բաժին
apply|գործադրել
Apps and Quizzes|Գործադիրներ և թեստեր
archive|ի պահ դնել
archive|պահոց
archive|սեղմել
area|տարածք
area chart|տարածքաձև գծապատկեր
area code|տարածքային կոդ
argument|արգումենտ
arrangement|դասավորություն
array|զանգված
array constant|զանգվածի հաստատուն
array formula|զանգվածի բանաձև
Arrow Ribbon|Սլաքի երիզ
article|հոդված
artist|կատարող
artistic effect|նկարչական էֆեկտ
ASCII|ASCII
ASCII apostrophe|ASCII ապաթարց
Ask Cortana|Հարցնել Cortana-ին
ASP|ASP
ASP.NET|ASP.NET
aspect|հարաբերությունը
aspect ratio|կողմերի հարաբերություն
asset|ունեցվածք
assigned task|նշանակված խնդիր
assignee|վերագրված անձ
assignment|վերագրում
Assignments|Վերագրումներ
Assistant object|Օգնականի առարկա
assistant shape|օժանդակ ձև
assistive technology|աջակցող տեխնոլոգիա
associated PivotTable report|PivotTable-ի միավորված զեկույց
ASTA|ASTA
